Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Parkinson Disease	C0030567	TPPP	11076	O94811	tubulin polymerization promoting protein	Cellular structure	110	0.57	0.692	0.20334	0.07		1.0	7	0	2011.0	2019.0
Parkinson Disease	C0030567	CHRNA4	1137	P43681	cholinergic receptor nicotinic alpha 4 subunit	Ion channel	248	0.492	0.808	8.5474e-05	0.07		1.0	7	2	2010.0	2019.0
Parkinson Disease	C0030567	SERPINA3	12	P01011	serpin family A member 3	Enzyme modulator	229	0.486	0.846	8.833e-14	0.07		1.0	7	0	1997.0	2004.0
Parkinson Disease	C0030567	CNR1	1268	P21554	cannabinoid receptor 1	G-protein coupled receptor	393	0.446	0.808	0.50652	0.07		0.857	7	0	1999.0	2019.0
Parkinson Disease	C0030567	CNR2	1269	P34972	cannabinoid receptor 2	G-protein coupled receptor	197	0.509	0.846	6.5369e-06	0.07		1.0	7	0	2007.0	2020.0
Parkinson Disease	C0030567	ADRB2	154	P07550	adrenoceptor beta 2	G-protein coupled receptor	387	0.442	0.923	0.52545	0.07		1.0	7	0	2017.0	2020.0
Parkinson Disease	C0030567	DECR1	1666	Q16698	2,4-dienoyl-CoA reductase 1	Enzyme	399	0.426	0.885	4.4689e-14	0.07		1.0	7	0	2003.0	2019.0
Parkinson Disease	C0030567	DYRK1A	1859	Q13627	dual specificity tyrosine phosphorylation regulated kinase 1A	Kinase	212	0.533	0.769	0.99967	0.07		1.0	7	0	2012.0	2019.0
Parkinson Disease	C0030567	SIRT3	23410	Q9NTG7	sirtuin 3	Epigenetic regulator	227	0.488	0.731	0.00016261	0.07		1.0	7	0	2014.0	2019.0
Parkinson Disease	C0030567	NUP62	23636	P37198	nucleoporin 62	Transporter	273	0.47	0.885	0.95006	0.07		1.0	7	0	2005.0	2020.0
Parkinson Disease	C0030567	GIP	2695	P09681	gastric inhibitory polypeptide		110	0.57	0.654	0.27108	0.07		1.0	7	0	2017.0	2020.0
Parkinson Disease	C0030567	ANG	283	P03950	angiogenin		185	0.511	0.769	0.28738	0.07		0.857	7	2	2011.0	2017.0
Parkinson Disease	C0030567	GRIN2A	2903	Q12879	glutamate ionotropic receptor NMDA type subunit 2A	Ion channel	212	0.522	0.808	0.99998	0.07		1.0	7	1	2011.0	2019.0
Parkinson Disease	C0030567	GTF2H1	2965	P32780	general transcription factor IIH subunit 1	Transcription factor	258	0.469	0.846	0.98982	0.07		1.0	7	0	2005.0	2020.0
Parkinson Disease	C0030567	UBE2K	3093	P61086	ubiquitin conjugating enzyme E2 K		58	0.631	0.654	0.98621	0.07		0.857	7	0	2000.0	2018.0
Parkinson Disease	C0030567	HSP90AA1	3320	P07900	heat shock protein 90 alpha family class A member 1	Chaperone	455	0.411	0.923	0.86025	0.07		1.0	7	0	2017.0	2019.0
Parkinson Disease	C0030567	DNAJB1	3337	P25685	DnaJ heat shock protein family (Hsp40) member B1		82	0.597	0.692	0.039437	0.07		1.0	7	1	2009.0	2018.0
Parkinson Disease	C0030567	LMX1A	4009	Q8TE12	LIM homeobox transcription factor 1 alpha	Nucleic acid binding	42	0.67	0.423	0.99114	0.07		1.0	7	0	2009.0	2016.0
Parkinson Disease	C0030567	DCTN4	51164	Q9UJW0	dynactin subunit 4		253	0.472	0.846	0.73221	0.07		1.0	7	0	2005.0	2020.0
Parkinson Disease	C0030567	RMDN3	55177	Q96TC7	regulator of microtubule dynamics 3		134	0.534	0.769	5.1687e-05	0.07		1.0	7	1	2006.0	2020.0
Parkinson Disease	C0030567	PSPN	5623	O60542	persephin	Signaling	70	0.608	0.769	0.00011172	0.07		1.0	7	0	2010.0	2019.0
Parkinson Disease	C0030567	ACTB	60	P60709	actin beta	Cellular structure	1110	0.325	0.923	0.98564	0.07		1.0	7	0	2004.0	2020.0
Parkinson Disease	C0030567	ROS1	6098	P08922	ROS proto-oncogene 1, receptor tyrosine kinase	Kinase	356	0.439	0.885	1.6184e-72	0.07		1.0	7	0	2006.0	2020.0
Parkinson Disease	C0030567	S100B	6285	P04271	S100 calcium binding protein B	Calcium-binding protein	599	0.383	0.923	0.04387	0.07		0.714	7	2	2011.0	2019.0
Parkinson Disease	C0030567	SLC1A2	6506	P43004	solute carrier family 1 member 2	Transporter	208	0.511	0.731	0.71036	0.07		0.857	7	1	2013.0	2019.0
Parkinson Disease	C0030567	TAC1	6863	P20366	tachykinin precursor 1		478	0.424	0.923	0.74608	0.07		1.0	7	0	1995.0	2019.0
Parkinson Disease	C0030567	TGFB1	7040	P01137	transforming growth factor beta 1	Signaling	1558	0.287	0.962	0.03685	0.07		0.857	7	0	2003.0	2019.0
Parkinson Disease	C0030567	TSPO	706	P30536	translocator protein		341	0.444	0.885	0.00027398	0.07		0.857	7	1	2015.0	2019.0
Parkinson Disease	C0030567	TLR2	7097	O60603	toll like receptor 2		749	0.361	0.923	1.0152e-06	0.07		1.0	7	2	2013.0	2018.0
Parkinson Disease	C0030567	CASP9	842	P55211	caspase 9	Enzyme	293	0.458	0.808	7.3826e-06	0.07		1.0	7	0	2001.0	2018.0
Parkinson Disease	C0030567	CAT	847	P04040	catalase	Enzyme	794	0.359	0.962	1.6263e-10	0.07		1.0	7	1	1995.0	2019.0
Parkinson Disease	C0030567	SYNJ1	8867	O43426	synaptojanin 1	Enzyme	128	0.576	0.577	0.42709	0.07		0.857	7	1	2014.0	2019.0
Parkinson Disease	C0030567	SCARB2	950	Q14108	scavenger receptor class B member 2	Receptor	103	0.606	0.615	8.9495e-05	0.07		1.0	7	4	2011.0	2015.0
Parkinson Disease	C0030567	RIDA	10247	P52758	reactive intermediate imine deaminase A homolog		72	0.606	0.769	0.067892	0.06		1.0	6	0	2010.0	2019.0
Parkinson Disease	C0030567	STX1B	112755	P61266	syntaxin 1B	Transporter	58	0.65	0.308	0.98766	0.06		1.0	6	0	2011.0	2019.0
Parkinson Disease	C0030567	BPIFA2	140683	Q96DR5	BPI fold containing family A member 2		80	0.608	0.808	8.0124e-07	0.06		1.0	6	0	2010.0	2019.0
Parkinson Disease	C0030567	CRYZ	1429	Q08257	crystallin zeta		145	0.524	0.731	5.6616e-23	0.06		1.0	6	0	2001.0	2019.0
Parkinson Disease	C0030567	CYBB	1536	P04839	cytochrome b-245 beta chain	Ion channel	343	0.452	0.885	0.99904	0.06		1.0	6	0	2018.0	2019.0
Parkinson Disease	C0030567	AGER	177	Q15109	advanced glycosylation end-product specific receptor	Receptor	450	0.42	0.885	6.3528e-16	0.06		1.0	6	1	2012.0	2018.0
Parkinson Disease	C0030567	GRM4	2914	Q14833	glutamate metabotropic receptor 4	G-protein coupled receptor	54	0.636	0.5	0.99307	0.06		1.0	6	0	2012.0	2019.0
Parkinson Disease	C0030567	HMGB1	3146	P09429	high mobility group box 1	Nucleic acid binding	724	0.368	0.923	0.82035	0.06		1.0	6	0	2017.0	2019.0
Parkinson Disease	C0030567	HTR2A	3356	P28223	5-hydroxytryptamine receptor 2A	G-protein coupled receptor	289	0.473	0.846	0.51124	0.06		1.0	6	1	2007.0	2019.0
Parkinson Disease	C0030567	IL17A	3605	Q16552	interleukin 17A		1074	0.324	0.923	0.043049	0.06		1.0	6	2	2013.0	2019.0
Parkinson Disease	C0030567	LMX1B	4010	O60663	LIM homeobox transcription factor 1 beta	Nucleic acid binding	132	0.565	0.731	0.74637	0.06		1.0	6	0	2001.0	2016.0
Parkinson Disease	C0030567	MEF2D	4209	Q14814	myocyte enhancer factor 2D	Transcription factor	72	0.608	0.5	0.99705	0.06		1.0	6	0	2009.0	2019.0
Parkinson Disease	C0030567	MPO	4353	P05164	myeloperoxidase	Enzyme	653	0.377	0.923	7.105e-15	0.06		1.0	6	0	2005.0	2019.0
Parkinson Disease	C0030567	MSMB	4477	P08118	microseminoprotein beta	Signaling	195	0.498	0.846	0.016199	0.06		1.0	6	0	2010.0	2019.0
Parkinson Disease	C0030567	MAPK8	5599	P45983	mitogen-activated protein kinase 8	Kinase	520	0.397	0.885	0.99823	0.06		1.0	6	0	2005.0	2020.0
Parkinson Disease	C0030567	PSPH	5723	P78330	phosphoserine phosphatase	Enzyme	114	0.57	0.808	0.00096703	0.06		1.0	6	0	2010.0	2019.0
Parkinson Disease	C0030567	SLC6A2	6530	P23975	solute carrier family 6 member 2	Transporter	238	0.49	0.846	0.081524	0.06		1.0	6	2	2009.0	2020.0
Parkinson Disease	C0030567	STXBP3	6814	O00186	syntaxin binding protein 3	Transporter	69	0.61	0.769	5.1597e-05	0.06		1.0	6	0	2010.0	2019.0
Parkinson Disease	C0030567	CXCR4	7852	P61073	C-X-C motif chemokine receptor 4	G-protein coupled receptor	739	0.362	0.923	0.017804	0.06		1.0	6	2	2009.0	2020.0
Parkinson Disease	C0030567	CAV1	857	Q03135	caveolin 1	Enzyme modulator	633	0.388	0.885	0.008274	0.06		0.833	6	0	2013.0	2018.0
Parkinson Disease	C0030567	SIGMAR1	10280	Q99720	sigma non-opioid intracellular receptor 1		190	0.544	0.808	0.1678	0.05		1.0	5	0	2015.0	2019.0
Parkinson Disease	C0030567	TOMM40	10452	O96008	translocase of outer mitochondrial membrane 40	Transporter	113	0.59	0.538	0.99218	0.05		1.0	5	0	2013.0	2019.0
Parkinson Disease	C0030567	ACOT7	11332	O00154	acyl-CoA thioesterase 7	Enzyme	146	0.531	0.769	0.75926	0.05		1.0	5	0	1997.0	2002.0
Parkinson Disease	C0030567	GSTO2	119391	Q9H4Y5	glutathione S-transferase omega 2		53	0.631	0.692	2.6125e-09	0.05		0.8	5	2	2003.0	2012.0
Parkinson Disease	C0030567	NMS	129521	Q5H8A3	neuromedin S		33	0.711	0.423	1.3331e-11	0.05		1.0	5	0	2017.0	2019.0
Parkinson Disease	C0030567	CST3	1471	P01034	cystatin C		370	0.436	0.808	0.0039011	0.05		1.0	5	0	2010.0	2020.0
Parkinson Disease	C0030567	RMDN2	151393	Q96LZ7	regulator of microtubule dynamics 2		137	0.531	0.769	4.4061e-24	0.05		1.0	5	0	2006.0	2020.0
Parkinson Disease	C0030567	CYP1A1	1543	P04798	cytochrome P450 family 1 subfamily A member 1	Enzyme	379	0.436	0.846	1.0635e-17	0.05		0.8	5	3	1993.0	2018.0
Parkinson Disease	C0030567	ZFPM1	161882	Q8IX07	zinc finger protein, FOG family member 1	Transcription factor	32	0.736	0.385	0.2429	0.05		0.8	5	0	2016.0	2018.0
Parkinson Disease	C0030567	DRD4	1815	P21917	dopamine receptor D4	G-protein coupled receptor	189	0.517	0.577	9.3362e-09	0.05		0.8	5	1	1998.0	2011.0
Parkinson Disease	C0030567	CHMP2B	25978	Q9UQN3	charged multivesicular body protein 2B		177	0.543	0.731	4.6203e-06	0.05		1.0	5	0	2009.0	2015.0
Parkinson Disease	C0030567	GLA	2717	P06280	galactosidase alpha		190	0.537	0.769	0.99675	0.05		1.0	5	0	2011.0	2018.0
Parkinson Disease	C0030567	GSTM2	2946	P28161	glutathione S-transferase mu 2		195	0.488	0.808	3.3913e-07	0.05		1.0	5	0	2001.0	2016.0
Parkinson Disease	C0030567	AGFG1	3267	P52594	ArfGAP with FG repeats 1		100	0.569	0.769	0.99276	0.05		1.0	5	0	2015.0	2019.0
Parkinson Disease	C0030567	ACTBL2	345651	Q562R1	actin beta like 2		134	0.539	0.769	5.8166e-16	0.05		1.0	5	0	1997.0	2002.0
Parkinson Disease	C0030567	AQP4	361	P55087	aquaporin 4	Ion channel	311	0.456	0.885	0.0022919	0.05		1.0	5	0	2017.0	2019.0
Parkinson Disease	C0030567	CHCHD10	400916	Q8WYQ3	coiled-coil-helix-coiled-coil-helix domain containing 10		112	0.623	0.462	5.3661e-06	0.05		1.0	5	1	2017.0	2019.0
Parkinson Disease	C0030567	MIR221	407006		microRNA 221		304	0.449	0.846		0.05		0.8	5	0	2013.0	2020.0
Parkinson Disease	C0030567	MIR34B	407041		microRNA 34b		165	0.509	0.808		0.05		1.0	5	0	2011.0	2017.0
Parkinson Disease	C0030567	MMP9	4318	P14780	matrix metallopeptidase 9	Enzyme	1337	0.305	0.923	1.8869e-17	0.05		0.8	5	1	2010.0	2020.0
Parkinson Disease	C0030567	POTEKP	440915	Q9BYX7	POTE ankyrin domain family member K, pseudogene		131	0.542	0.769		0.05		1.0	5	0	1997.0	2002.0
Parkinson Disease	C0030567	COX2	4513	P00403	cytochrome c oxidase subunit II	Enzyme	875	0.352	0.962		0.05		0.8	5	0	2000.0	2018.0
Parkinson Disease	C0030567	NQO2	4835	P16083	N-ribosyldihydronicotinamide:quinone reductase 2		64	0.628	0.5	8.7572e-07	0.05		1.0	5	0	2001.0	2008.0
Parkinson Disease	C0030567	NNMT	4837	P40261	nicotinamide N-methyltransferase	Enzyme	103	0.559	0.654	5.2791e-08	0.05		1.0	5	0	2002.0	2018.0
Parkinson Disease	C0030567	NTF3	4908	P20783	neurotrophin 3	Signaling	170	0.519	0.808	0.93201	0.05		1.0	5	0	2007.0	2018.0
Parkinson Disease	C0030567	NTS	4922	P30990	neurotensin		184	0.517	0.769	3.8527e-05	0.05		1.0	5	0	2006.0	2018.0
Parkinson Disease	C0030567	RMDN1	51115	Q96DB5	regulator of microtubule dynamics 1		123	0.546	0.769	5.8995e-10	0.05		1.0	5	1	2006.0	2020.0
Parkinson Disease	C0030567	SYBU	55638	Q9NX95	syntabulin	Transporter	120	0.546	0.769	9.7732e-05	0.05		1.0	5	0	2006.0	2020.0
Parkinson Disease	C0030567	MIR433	574034		microRNA 433		69	0.604	0.538		0.05		0.8	5	0	2008.0	2018.0
Parkinson Disease	C0030567	REST	5978	Q13127	RE1 silencing transcription factor	Transcription factor	178	0.535	0.808	0.99186	0.05		1.0	5	0	2009.0	2020.0
Parkinson Disease	C0030567	RPS27A	6233	P62979	ribosomal protein S27a	Nucleic acid binding	59	0.621	0.808	0.91944	0.05		1.0	5	0	2002.0	2018.0
Parkinson Disease	C0030567	POTEM	641455	A6NI47	POTE ankyrin domain family member M		133	0.541	0.769	0.00031637	0.05		1.0	5	0	1997.0	2002.0
Parkinson Disease	C0030567	STAT3	6774	P40763	signal transducer and activator of transcription 3	Nucleic acid binding	1193	0.32	0.923	1.0	0.05		1.0	5	0	2018.0	2020.0
Parkinson Disease	C0030567	TBP	6908	P20226	TATA-box binding protein	Transcription factor	158	0.552	0.846	0.015031	0.05		0.8	5	0	2004.0	2015.0
Parkinson Disease	C0030567	ACTG1	71	P63261	actin gamma 1	Cellular structure	291	0.477	0.846	0.0047837	0.05		1.0	5	0	1997.0	2002.0
Parkinson Disease	C0030567	ACTG2	72	P63267	actin gamma 2, smooth muscle	Cellular structure	205	0.505	0.808	0.071036	0.05		1.0	5	0	1997.0	2002.0
Parkinson Disease	C0030567	CCR2	729230	P41597	C-C motif chemokine receptor 2		436	0.418	0.846	0.023412	0.05		0.6	5	1	2003.0	2019.0
Parkinson Disease	C0030567	UBC	7316	P0CG48	ubiquitin C	Nucleic acid binding	78	0.597	0.692	0.14161	0.05		1.0	5	0	2002.0	2018.0
Parkinson Disease	C0030567	TFEB	7942	P19484	transcription factor EB		150	0.527	0.731	0.89931	0.05		1.0	5	0	2016.0	2019.0
Parkinson Disease	C0030567	PPP1R2C	80316	O14990	PPP1R2C family member C	Enzyme modulator	231	0.478	0.846		0.05		1.0	5	0	2005.0	2019.0
Parkinson Disease	C0030567	BECN1	8678	Q14457	beclin 1	Enzyme modulator	373	0.432	0.846	0.93717	0.05		1.0	5	1	2018.0	2020.0
Parkinson Disease	C0030567	SUCLA2	8803	Q9P2R7	succinate-CoA ligase ADP-forming subunit beta	Enzyme	136	0.566	0.654	0.0023488	0.05		1.0	5	0	2010.0	2019.0
Parkinson Disease	C0030567	CCK	885	P06307	cholecystokinin		326	0.453	0.846	3.3034e-05	0.05		1.0	5	0	1999.0	2017.0
Parkinson Disease	C0030567	FHL5	9457	Q5TD97	four and a half LIM domains 5	Transcription factor	153	0.53	0.769	4.8464e-10	0.05		1.0	5	0	1997.0	2002.0
Parkinson Disease	C0030567	CLOCK	9575	O15516	clock circadian regulator		309	0.463	0.885	0.99957	0.05		1.0	5	0	2012.0	2019.0
Parkinson Disease	C0030567	DNAJC6	9829	O75061	DnaJ heat shock protein family (Hsp40) member C6		86	0.641	0.385	0.99986	0.05		0.8	5	0	2014.0	2019.0
Parkinson Disease	C0030567	MFN2	9927	O95140	mitofusin 2	Enzyme	334	0.471	0.846	0.99415	0.05		1.0	5	0	2017.0	2020.0
Parkinson Disease	C0030567	DNAJB6	10049	O75190	DnaJ heat shock protein family (Hsp40) member B6		65	0.659	0.462	0.85436	0.04		1.0	4	0	2006.0	2017.0
Parkinson Disease	C0030567	MIR4697	100616119		microRNA 4697		2	0.931	0.077		0.04		1.0	4	0	2016.0	2018.0
Parkinson Disease	C0030567	AKR1A1	10327	P14550	aldo-keto reductase family 1 member A1	Enzyme	185	0.51	0.846	6.6621e-07	0.04		0.75	4	0	2000.0	2020.0
Parkinson Disease	C0030567	OGA	10724	O60502	O-GlcNAcase		140	0.534	0.731	0.96569	0.04		1.0	4	0	2014.0	2019.0
Parkinson Disease	C0030567	PLK2	10769	Q9NYY3	polo like kinase 2	Kinase	97	0.575	0.808	0.9999	0.04		1.0	4	0	2011.0	2017.0
Parkinson Disease	C0030567	ADCYAP1	116	P18509	adenylate cyclase activating polypeptide 1	Signaling	220	0.51	0.846	0.52424	0.04		1.0	4	0	2013.0	2018.0
Parkinson Disease	C0030567	CREB1	1385	P16220	cAMP responsive element binding protein 1		294	0.463	0.885	0.99673	0.04		1.0	4	0	2017.0	2020.0
Parkinson Disease	C0030567	CUX1	1523	P39880;Q13948	cut like homeobox 1	Transcription factor	283	0.465	0.846	1.0	0.04		1.0	4	0	2013.0	2019.0
Parkinson Disease	C0030567	ZNF746	155061	Q6NUN9	zinc finger protein 746		12	0.792	0.269	0.65205	0.04		1.0	4	0	2014.0	2019.0
Parkinson Disease	C0030567	CYP2D7	1564	A0A087X1C5	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)		42	0.659	0.577		0.04		0.75	4	0	1998.0	2016.0
Parkinson Disease	C0030567	LINGO2	158038	Q7L985	leucine rich repeat and Ig domain containing 2	Receptor	41	0.674	0.615	0.85665	0.04		1.0	4	4	2010.0	2015.0
Parkinson Disease	C0030567	DNAJB1P1	171221		DnaJ heat shock protein family (Hsp40) member B1 pseudogene 1		51	0.65	0.654		0.04		1.0	4	0	2009.0	2018.0
Parkinson Disease	C0030567	DMRT1	1761	Q9Y5R6	doublesex and mab-3 related transcription factor 1		101	0.559	0.654	0.7387	0.04		1.0	4	0	2009.0	2015.0
Parkinson Disease	C0030567	RLS1	192142		Restless legs syndrome, susceptibility to		37	0.705	0.423		0.04		0.75	4	0	2015.0	2019.0
Parkinson Disease	C0030567	ELAVL4	1996	P26378	ELAV like RNA binding protein 4		31	0.682	0.269	0.90806	0.04		1.0	4	2	2005.0	2014.0
Parkinson Disease	C0030567	A2M	2	P01023	alpha-2-macroglobulin	Enzyme modulator	147	0.529	0.769	4.5229e-11	0.04		1.0	4	2	2002.0	2019.0
Parkinson Disease	C0030567	ELK3	2004	P41970	ETS transcription factor ELK3	Transcription factor	220	0.49	0.846	0.083508	0.04		1.0	4	0	2017.0	2017.0
Parkinson Disease	C0030567	EPHB1	2047	P54762	EPH receptor B1	Kinase	169	0.518	0.846	0.9985	0.04		1.0	4	1	2011.0	2017.0
Parkinson Disease	C0030567	FABP3	2170	P05413	fatty acid binding protein 3		95	0.585	0.692	0.44326	0.04		1.0	4	0	2014.0	2019.0
Parkinson Disease	C0030567	PTK2B	2185	Q14289	protein tyrosine kinase 2 beta	Kinase	319	0.448	0.808	0.93536	0.04		1.0	4	0	2018.0	2020.0
Parkinson Disease	C0030567	FGF2	2247	P09038	fibroblast growth factor 2	Signaling	635	0.383	0.923	0.0184	0.04		1.0	4	0	2009.0	2019.0
Parkinson Disease	C0030567	FKBP1A	2280	P62942	FKBP prolyl isomerase 1A	Enzyme	49	0.641	0.654	0.81452	0.04		1.0	4	0	2011.0	2020.0
Parkinson Disease	C0030567	SV2C	22987	Q496J9	synaptic vesicle glycoprotein 2C		15	0.821	0.192	2.4354e-05	0.04		1.0	4	2	2013.0	2019.0
Parkinson Disease	C0030567	SNHG1	23642		small nucleolar RNA host gene 1		83	0.576	0.692		0.04		1.0	4	0	2018.0	2019.0
Parkinson Disease	C0030567	DNM3	26052	Q9UQ16	dynamin 3	Enzyme modulator	48	0.716	0.462	0.0024197	0.04		0.5	4	1	2018.0	2019.0
Parkinson Disease	C0030567	GLRX	2745	P35754	glutaredoxin		65	0.619	0.577	5.6744e-07	0.04		1.0	4	0	2012.0	2019.0
Parkinson Disease	C0030567	NEAT1	283131		nuclear paraspeckle assembly transcript 1		179	0.502	0.769		0.04		1.0	4	0	2018.0	2019.0
Parkinson Disease	C0030567	HP	3240	P00738	haptoglobin	Enzyme	464	0.412	0.885	1.736e-05	0.04		1.0	4	0	2008.0	2019.0
Parkinson Disease	C0030567	HSPA5	3309	P11021	heat shock protein family A (Hsp70) member 5		350	0.434	0.885	0.77341	0.04		1.0	4	0	2008.0	2019.0
Parkinson Disease	C0030567	APOA1	335	P02647	apolipoprotein A1		416	0.429	0.885	0.00054909	0.04		1.0	4	1	2015.0	2018.0
Parkinson Disease	C0030567	IAPP	3375	P10997	islet amyloid polypeptide	Signaling	183	0.507	0.808	0.0031814	0.04		1.0	4	0	2011.0	2018.0
Parkinson Disease	C0030567	ICAM1	3383	P05362	intercellular adhesion molecule 1		737	0.364	0.962	0.035295	0.04		0.75	4	2	2003.0	2018.0
Parkinson Disease	C0030567	MALAT1	378938		metastasis associated lung adenocarcinoma transcript 1		336	0.435	0.846		0.04		1.0	4	0	2016.0	2019.0
Parkinson Disease	C0030567	LAG3	3902	P18627	lymphocyte activating 3	Receptor	154	0.517	0.692	0.27623	0.04		1.0	4	0	2016.0	2019.0
Parkinson Disease	C0030567	LCN2	3934	P80188	lipocalin 2	Enzyme	497	0.405	0.885	1.1404e-09	0.04		1.0	4	0	2012.0	2018.0
Parkinson Disease	C0030567	MIR205	406988		microRNA 205		210	0.482	0.846		0.04		1.0	4	0	2013.0	2018.0
Parkinson Disease	C0030567	MIR34A	407040		microRNA 34a		428	0.421	0.846		0.04		1.0	4	0	2015.0	2019.0
Parkinson Disease	C0030567	MMP3	4314	P08254	matrix metallopeptidase 3	Enzyme	473	0.408	0.885	5.7362e-15	0.04		0.75	4	0	2004.0	2016.0
Parkinson Disease	C0030567	ATF4	468	P18848	activating transcription factor 4		178	0.507	0.769	0.015659	0.04		1.0	4	1	2016.0	2019.0
Parkinson Disease	C0030567	NEDD4	4734	P46934	NEDD4 E3 ubiquitin protein ligase	Enzyme	101	0.569	0.846	8.7208e-13	0.04		1.0	4	0	2011.0	2016.0
Parkinson Disease	C0030567	NGFR	4804	P08138	nerve growth factor receptor	Receptor	256	0.477	0.846	0.097889	0.04		1.0	4	2	2018.0	2019.0
Parkinson Disease	C0030567	NPY	4852	P01303	neuropeptide Y	Signaling	381	0.447	0.846	0.14294	0.04		0.75	4	0	2003.0	2019.0
Parkinson Disease	C0030567	NPC1	4864	O15118	NPC intracellular cholesterol transporter 1	Transporter	220	0.518	0.692	6.5418e-06	0.04		0.75	4	0	2013.0	2018.0
Parkinson Disease	C0030567	SEPTIN4	5414	O43236;Q8NEP4	septin 4	Enzyme modulator	48	0.644	0.692	2.7268e-05	0.04		1.0	4	0	2007.0	2018.0
Parkinson Disease	C0030567	PTPA	5524	Q15257	protein phosphatase 2 phosphatase activator	Enzyme modulator	245	0.48	0.846	0.99057	0.04		1.0	4	0	2017.0	2018.0
Parkinson Disease	C0030567	RHOT1	55288	Q8IXI2	ras homolog family member T1	Enzyme modulator	20	0.722	0.308	0.79851	0.04		1.0	4	0	2014.0	2019.0
Parkinson Disease	C0030567	MAPK3	5595	P27361	mitogen-activated protein kinase 3	Kinase	647	0.379	0.885	0.036884	0.04		1.0	4	0	2008.0	2018.0
Parkinson Disease	C0030567	KLK6	5653	Q92876	kallikrein related peptidase 6	Enzyme	99	0.575	0.654	0.0060052	0.04		1.0	4	0	2000.0	2019.0
Parkinson Disease	C0030567	SLC2A9	56606	Q9NRM0	solute carrier family 2 member 9	Transporter	74	0.619	0.731	6.9451e-10	0.04		0.75	4	2	2011.0	2018.0
Parkinson Disease	C0030567	PSEN1	5663	P49768	presenilin 1	Enzyme	369	0.469	0.846	0.97322	0.04		1.0	4	0	2009.0	2015.0
Parkinson Disease	C0030567	REN	5972	P00797	renin	Enzyme	721	0.37	0.923	2.4297e-07	0.04		1.0	4	0	2007.0	2018.0
Parkinson Disease	C0030567	NIF3L1	60491	Q9GZT8	NGG1 interacting factor 3 like 1		37	0.674	0.462	9.7207e-09	0.04		1.0	4	0	1998.0	2007.0
Parkinson Disease	C0030567	CX3CL1	6376	P78423	C-X3-C motif chemokine ligand 1	Signaling	243	0.478	0.808	0.60837	0.04		1.0	4	0	2007.0	2018.0
Parkinson Disease	C0030567	CXCL12	6387	P48061	C-X-C motif chemokine ligand 12		626	0.379	0.846	0.11851	0.04		1.0	4	0	2009.0	2020.0
Parkinson Disease	C0030567	SKP1	6500	P63208	S-phase kinase associated protein 1	Enzyme	38	0.666	0.615	0.37294	0.04		1.0	4	0	2012.0	2017.0
Parkinson Disease	C0030567	SYP	6855	P08247	synaptophysin	Transporter	243	0.481	0.808	0.91549	0.04		0.75	4	0	2000.0	2019.0
Parkinson Disease	C0030567	TCF3	6929	P15923	transcription factor 3	Transcription factor	244	0.476	0.846	0.025824	0.04		1.0	4	0	1999.0	2019.0
Parkinson Disease	C0030567	PRDX2	7001	P32119	peroxiredoxin 2	Enzyme	243	0.474	0.885	0.086513	0.04		1.0	4	0	2007.0	2017.0
Parkinson Disease	C0030567	TFRC	7037	P02786	transferrin receptor	Enzyme	359	0.437	0.885	6.9902e-05	0.04		1.0	4	0	2008.0	2018.0
Parkinson Disease	C0030567	VCP	7415	P55072	valosin containing protein		376	0.469	0.923	0.99999	0.04		1.0	4	3	2010.0	2018.0
Parkinson Disease	C0030567	TRPV1	7442	Q8NER1	transient receptor potential cation channel subfamily V member 1	Ion channel	404	0.446	0.885	1.0103e-16	0.04		1.0	4	0	2017.0	2020.0
Parkinson Disease	C0030567	XBP1	7494	P17861	X-box binding protein 1		234	0.477	0.846	0.032014	0.04		1.0	4	0	2009.0	2019.0
Parkinson Disease	C0030567	PICALM	8301	Q13492	phosphatidylinositol binding clathrin assembly protein	Transporter	79	0.592	0.538	0.99896	0.04		0.5	4	0	2011.0	2016.0
Parkinson Disease	C0030567	CDK5R1	8851	Q15078	cyclin dependent kinase 5 regulatory subunit 1	Enzyme modulator	153	0.529	0.808	0.9149	0.04		1.0	4	1	2012.0	2018.0
Parkinson Disease	C0030567	PHOX2B	8929	Q99453	paired like homeobox 2B		128	0.565	0.731	0.93755	0.04		1.0	4	0	2005.0	2019.0
Parkinson Disease	C0030567	GSTO1	9446	P78417	glutathione S-transferase omega 1		136	0.541	0.769	5.0916e-09	0.04		0.75	4	1	2003.0	2012.0
Parkinson Disease	C0030567	GDF15	9518	Q99988	growth differentiation factor 15	Signaling	389	0.429	0.808	3.0133e-07	0.04		1.0	4	0	2000.0	2019.0
Parkinson Disease	C0030567	HOTAIR	100124700		HOX transcript antisense RNA		234	0.475	0.769		0.03		1.0	3	0	2016.0	2019.0
Parkinson Disease	C0030567	WASHC1	100287171	A8K0Z3	WASH complex subunit 1		18	0.78	0.308		0.03		1.0	3	0	2014.0	2017.0
